Year,total_fish_g_m2
2006,38.641124999999995
2007,20.40030833333333
2008,10.123133333333334
2009,17.98845
2010,16.306625
2011,13.882033333333332
2012,19.0107
2013,19.295675000000003
2014,29.407291666666666
2015,28.314583333333335
2016,33.986866666666664
2017,24.623183333333333
2018,34.74575
2019,23.739733333333334
2020,26.464041666666667
2021,31.713016666666668
2022,25.970566666666667
2023,28.796066666666665
2024,36.71196666666667
